Recipient.Organization,Appealing.Agency.NATIONAL.INTERNATIONAL,donorCount,totalContrib,countryCount
UN Foundation,,1,1000000,1
UN GENERAL TRUST FUND,,1,103341,1
UN Mission for Ebola Emergency Response,,4,2913809,3
UN Peacebuilding Fund,,1,654450,1
Un Ponte Per ,International NGO,3,1721718,3
UN Resident Coordinator's Office,,1,677201,1
Un Techo Para Mi Pais,,1,250000,1
UN Trust Fund,,1,6000000,1
UN Women's Guild,,1,268657,1
UNDP Administered Trust Fund,,1,1412429,1
UNDP for UNDSS,,1,1539584,1
UNICEF National Committee/United Kingdom,Affiliated National NGO,2,0,1
UNICEF National Committees,Affiliated National NGO,1,1000000,1
Union des Organisations Syrienne de Secours Médicaux,International NGO,1,3555538,2
Union Nationale des Associations Diocesaines de Secours et Developpement,,1,336928,1
Union of Agricultural Work Committees,National NGO,2,1466423,1
Union of Health Work Committees,,1,499389,1
Unité de Recherche et d'Action Médico Légale,,1,350331,1
United Israel Appeal,,1,15000000,1
United Nations,,1,238099,1
United Nations Children's Fund,,139,5925314589,96
United Nations Department of Safety and Security,,14,30414384,14
United Nations Development Fund for Women,,5,3539972,4
United Nations Development Programme,,54,378301239,71
United Nations Disaster Assessment and Coordination,,2,321908,2
"United Nations Educational, Scientific and Cultural Organization",,25,27307213,17
United Nations Entity for Gender Equality and the Empowerment of Women,,6,9043990,9
United Nations Environment Programme,,4,1030564,2
United Nations Foundation,,1,50000,1
United Nations High Commissioner for Refugees,,103,10001026927,71
United Nations Human Settlements Programme (UN-HABITAT),,24,154230051,21
United Nations Humanitarian Air Service,,15,110641077,5
United Nations Humanitarian Response Depot ,,2,3205554,2
United Nations Industrial Development Organization,,2,3137634,2
United Nations Institute for Disarmament Research,,1,256739,1
United Nations Institute for Training and Research,,1,3522412,1
United Nations Joint Logistics Centre,,2,7507561,1
United Nations Joint Programme on HIV/AIDS,,4,2019374,11
United Nations Mine Action Service,,30,204782144,16
United Nations Office for Disarmament Affairs,,1,176897,1
United Nations Office for Project Services,,16,114173886,16
United Nations Office of Legal Affairs,,1,96519,1
United Nations Office on Drugs and Crime,,1,50000,1
United Nations Operation Programme Support,,3,2228142,3
United Nations Political Office for Somalia,,1,202703,1
United Nations Population Fund,,41,253123906,67
United Nations Register of Damage,,2,628723,2
United Nations Relief and Works Agency for Palestine Refugees in the Near East,,108,2369527343,9
United Nations Voluntary Trust Fund on Contemporary Forms of Slavery,,1,30025,1
United Nations Volunteers Programme,,1,600000,2
United Peace Organization,,1,367029,1
United Rural Development Organization,,1,149947,1
United States Agency for International Development,,1,1712213,3
United Way International,International NGO,2,0,1
United Way of Miami-Dade,,1,100000,1
Unity and Cooperation for the Development of People,International NGO,1,672948,1
Universal Intervention and Development Organization,,2,2662348,1
Universal Network for Knowledge and Empowerment Agency,,3,1526208,1
Universal Rights Group,,1,64700,1
Universidad de Chile,,1,294436,1
Universidad Nacional Autonoma de Honduras,,1,528338,1
Universitetet i Oslo,,1,470553,3
University of Capetown,,1,998560,1
University of Miami,,1,10000,1
University of Neuchâtel,,1,232019,1
University of Oxford - Refugee Studies Centre,,1,122196,1
UniverSud-Liège,,1,1096396,1
Upper Nile Initiative and Development Organization,National NGO,2,470210,1
Upper Nile Kalaazar Eradication Association,Local NGOs,2,380933,1
UPR Info,,1,197695,1
Urgence Rehabilitation et Developpement,International NGO,1,63532,1
Urgence Solidarité Syrie,International NGO,1,339674,1
US Fund for UNICEF,International NGO,5,3134130,2
USA Friends of WFP,International NGO,1,50000,1
Vamos Adelante,Local NGOs,1,36630,1
Vanuatu Red Cross Society,,1,100000,1
Various Donors (details not yet provided),,2,1061014,2
Various Recipients (details not yet provided),,254,4777197100,118
VENRO,International NGO,1,19907,1
Vento di Terra,International NGO,2,641412,1
Verein Bär und Leu,,1,620752,1
Verein f. hum. Hilfe Vaduz,,1,1101949,1
Vet-Care Organization,National NGO,1,228223,1
Vétérinaire sans Frontieres,International NGO,5,4712029,5
Vétérinaires sans Frontières (Belgium),International NGO,5,11919384,4
Vétérinaires sans Frontières (Germany),International NGO,6,9469825,5
Vétérinaires sans Frontières (Switzerland),International NGO,4,7174526,4
Vetworks Eastern Africa,,1,147232,1
Vie Sacree,Local NGOs,1,166811,1
Vision Hope International,International NGO,1,1611934,1
Vitalité Plus,,1,515000,1
Viva Rio,SINGO,1,1597724,1
VNG International,,1,1501098,1
VOICE ASBL,International NGO,1,1281731,1
Voila Earthquake Relief Fund,,2,0,1
Volontariato Internazionale per lo Sviluppo,International NGO,6,1711710,2
Voluntary Organisations in Cooperation in Emergencies,,1,542741,1
Volunteer Organization for the International Co-operation,International NGO,2,332854,2
VREDESEILANDEN,International NGO,1,1925655,1
Wabi Shelbelle Development,Local NGOs,1,246429,1
Wahdat Rehabilitation and Development Organization for Afghan Women,,1,82164,1
Wajir South Development Association,National NGO,3,2183599,2
Wakachiai Project,,1,48721,1
Walmart Foundation,,1,1000000,1
Wamo Relief and Rehabilitation Services,,2,411511,1
War Child ,International NGO,1,931677,1
War Child Canada,International NGO,4,5531817,4
War Child Holland,International NGO,8,6586973,4
War Child UK,International NGO,2,1244167,2
Wardi Relief and Development Initiatives,National NGO,2,4450983,1
Watan’s Social Technical Services Association,,1,496387,1
Water Missions International,International NGO,3,55000,2
We Effect,,2,2619878,1
WEF - World Editors Forum,,1,248124,1
Welfare Association,International NGO,2,871952,1
Wereld-missiehulp,,1,8375,1
Wilton Park,,2,1004937,1
WISAG,,1,13324,1
Woman Kind Kenya,Local NGOs,1,114116,1
Women's Education Partnership,International NGO,1,250000,1
Women's Evangelical Association of Bossangoa,,1,50000,1
Women's Refugee Commission,International NGO,1,1314293,1
Women and Children Child Care Organization,Local NGOs,3,4454504,1
Women And Health Alliance,,2,621990,2
Women Empowerment Organization,National NGO,1,67838,1
Women for Women International,International NGO,1,803741,1
Women Welfare Organization Poonch,Local NGOs,1,249960,1
World Association of Children's Friends,International NGO,1,67935,1
World Association of Newspapers and News Publishers,,1,141243,1
World Bank,,12,43440247,9
World Care,International NGO,1,10000,1
World Coalition Against the Death Penalty,,1,99190,1
World Concern,International NGO,1,746783,1
World Concern Development Organisation,International NGO,4,15535321,6
World Conference on Religions for Peace,,1,220161,1
World Council of Churches,,2,602049,2
World Food Programme,,111,21204241282,88
World Health Organization,,99,1261992744,86
World Islamic Economic Forum Foundation,,1,250000,1
WORLD LUTERAN FEDERATION - COLOMBIA,,1,159719,1
World Meteorological Organization,,4,7816996,4
World Neighbors,,1,1247319,1
World Organisation Against Torture,International NGO,1,196178,1
World Rehabilitation Fund,,1,250000,1
World Relief,International NGO,6,15706170,5
World Relief Corporation,International NGO,1,336625,1
World University Service,,1,288008,1
World University Service - Canada,International NGO,1,1088180,1
World Vision Australia,International NGO,1,316170,1
World Vision Canada,International NGO,1,16135409,10
World Vision El Salvador,Affiliated National NGO,1,238801,1
World Vision Germany,International NGO,3,6340917,13
World Vision International,International NGO,31,240203563,40
World Vision Ireland,International NGO,1,839256,4
World Vision Kenya,Affiliated National NGO,1,692555,1
World Vision Pakistan,International NGO,1,680934,1
World Vision Philippines,International NGO,11,19840382,1
World Vision South Sudan,Affiliated National NGO,8,36439156,1
World Vision Sri Lanka,Affiliated National NGO,2,2705026,1
World Vision Sudan,Affiliated National NGO,12,26062876,2
World Vision UK,International NGO,1,3600452,4
World Vision USA,International NGO,4,17636252,12
World Vision Zimbabwe,Affiliated National NGO,2,804685,1
World Wildlife Fund,International NGO,1,498002,1
WorldFish,,1,4737825,1
Yayasan Ananda Marga Indonesia,,1,100000,1
Yayasan Dian Desa,,1,100000,1
Yayasan HOPE Indonesia,Affiliated National NGO,1,200000,1
Yele Haiti Foundation ,,1,1000000,1
Yemen Family Care Association,,1,976191,1
Yemen Medical Charitable Society,National NGO,1,567474,1
Yemen Women Union,National NGO,1,138535,1
YME Foundation,,3,10225130,1
Young Africans Development Action,,1,0,1
Young Welfare Society,Local NGOs,1,295899,1
Youth Activity Organization,,1,498000,1
Youth Resource Centre,,1,194810,1
ZACF,,1,86313,1
Zafar Cooperation Organization,Undefined,1,325667,1
Zamzam Foundation,National NGO,2,379607,1
ZAWD - Organization for Humanitarian and Development,,1,203000,1
ZIF - Center for International Peace Operations,,1,663390,1
ZOA,International NGO,8,33113577,10
Zukunft f. Kinder,,1,544803,1
