,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
23719,,,"228003  Maintenance Machinery, Equipment an",,568,529,,,,568,529,,0,0
23720,,,228004  Maintenance  Other,,"1,716","1,600",,,,"1,716","1,600",,0,0
23721,,,263322  Conditional transfers to Contr,,858,0,,,,858,0,,0,0
23722,,,,,,,Output:085699 Arrears,,,,,,,
23723,,,321612  Water Arrears,,"20,000",0,,,,"20,000",0,,0,0
23724,,,,,,,,,Health Sector ,,,,,
23725,,,,,,,,,,,,Vote:171,,
23726,,,,Soroti Referral Hospital,,,,,,,,,,
23727,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23728,,,,,,,,Programme  02 Soroti Referral Hospital Internal Audit,,,,,,
23729,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23730,,,211101  General Staff Salaries,,0,0,,,,"7,000","7,000",,"7,000","7,000"
23731,,,211103  Allowances,,"1,500","2,000",,,,"1,500","2,000",,0,0
23732,,,213001  Medical Expenses(To Employees),,500,0,,,,500,0,,0,0
23733,,,"221011  Printing, Stationery, Photocopying and ",,500,0,,,,500,0,,0,0
23734,,,221012  Small Office Equipment,,500,0,,,,500,0,,0,0
23735,,,227001  Travel Inland,,"1,000",0,,,,"1,000",0,,0,0
23736,,,,,,,,Programme  03 Soroti Regional Maintenance,,,,,,
23737,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23738,,,221012  Small Office Equipment,,"1,070","1,000",,,,"1,070","1,000",,0,0
23739,,,222001  Telecommunications,,"1,070","1,200",,,,"1,070","1,200",,0,0
23740,,,223005  Electricity,,"20,000","8,000",,,,"20,000","8,000",,0,0
23741,,,224002  General Supply of Goods and Services,,"33,500","24,000",,,,"33,500","24,000",,0,0
23742,,,227001  Travel Inland,,"26,750","26,750",,,,"26,750","26,750",,0,0
23743,,,"227004  Fuel, Lubricants and Oils",,"16,050","16,050",,,,"16,050","16,050",,0,0
23744,,,228002  Maintenance - Vehicles,,"8,560","8,000",,,,"8,560","8,000",,0,0
23745,Development Budget Estimates,,,,,,,,,,,,,
23746,,,,,,,,Project  1004 Soroti Rehabilitation Referral Hospital,,,,,,
23747,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23748,,,,,,,,,,,"50,000",,,
23749,,,,,,,,,,,"50,000",,,
23750,,,,,,,Output:085671 Acquisition of Land by Government,,,,,,,
23751,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"6,000",0,,"6,000",0
23752,,,311101  Land,,0,0,,,,"60,000",0,,"60,000",0
23753,,,,,,,Output:085672 Government Buildings and Administrative Infrastructure,,,,,,,
23754,,,231001  Non-Residential Buildings,,0,0,,,,"190,000",0,,"190,000",0
23755,,,231002  Residential Buildings,,0,0,,,,"160,000",0,,"160,000",0
23756,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"30,000",0,,"30,000",0
23757,,,,,,,"Output:085673 Roads, Streets and Highways",,,,,,,
23758,,,231007  Other Structures,,0,0,,,,"60,000",0,,"60,000",0
23759,,,,,,,,,,,,Vote:171,,
23760,,,,Soroti Referral Hospital,,,,,,,,,,
23761,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23762,,,,,,,,Project  1004 Soroti Rehabilitation Referral Hospital,,,,,,
23763,,,,,,,Output:085675 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
23764,,,231004  Transport Equipment,,0,0,,,,"180,000",0,,"180,000",0
23765,,,312206  Gross Tax,,0,0,,,,"180,000",0,,"180,000",0
23766,,,,,,,"Output:085676 Purchase of Office and ICT Equipment, including  Software",,,,,,,
23767,,,231005  Machinery and Equipment,,0,0,,,,"20,000",0,,"20,000",0
23768,,,312206  Gross Tax,,0,0,,,,"4,000",0,,"4,000",0
23769,,,,,,,Output:085677 Purchase of Specialised Machinery & Equipment,,,,,,,
23770,,,231005  Machinery and Equipment,,0,0,,,,"35,000",0,,"35,000",0
23771,,,281501  Environmental Impact Assessments for ,,0,0,,,,"15,000",0,,"15,000",0
23772,,,312206  Gross Tax,,0,0,,,,"16,000","20,000",,"16,000","20,000"
23773,,,,,,,Output:085678 Purchase of Office and Residential Furniture and Fittings,,,,,,,
23774,,,231006  Furniture and Fixtures,,0,0,,,,"60,000","100,000",,"60,000","100,000"
23775,,,,,,,Output:085680 Hospital Construction/rehabilitation ,,,,,,,
23776,,,231001  Non-Residential Buildings,,0,0,,,,"140,000",0,,"140,000",0
23777,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"15,000",0,,"15,000",0
23778,,,,,,,Output:085681 Staff houses construction and rehabilitation,,,,,,,
23779,,,231002  Residential Buildings,,0,0,,,,"650,000","1,080,000",,"650,000","1,080,000"
23780,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"43,000",0,,"43,000",0
23781,,,,,,,Output:085682 Maternity ward construction and rehabilitation,,,,,,,
23782,,,231001  Non-Residential Buildings,,0,0,,,,"100,000","100,000",,"100,000","100,000"
23783,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"10,000",0,,"10,000",0
23784,,,,,,,Output:085683 OPD and other ward construction and rehabilitation,,,,,,,
23785,,,231001  Non-Residential Buildings,,0,0,,,,"200,000",0,,"200,000",0
23786,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"20,000",0,,"20,000",0
23787,,,,,,,,,,,Total,,,
23788,,,,,,,,,,"5,259,095",,,,
23789,,,,,,,,,,"5,009,095",,,,
23790,,,,,,,,,,"5,259,095",,,,
23791,,,,,,,,,,"5,009,095",,,,
23792,,,,,,,***where AIA is Appropriation in Aid,,,,,,,
23793,,,,,,,,,Health Sector ,,,,,
23794,,,,,,,,,,,,Vote:172,,
23795,,,,Lira Referral Hospital,,,,,,,,,,
23796,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23797,Recurrent Budget Estimates,,,,,,,,,,,,,
23798,,,,,,,,Programme  01 Lira Referral Hospital Services,,,,,,
23799,,,,,,,Output:085601 Inpatient services,,,,,,,
23800,,,211101  General Staff Salaries,,0,0,,,,"1,091,884","2,561,775",,"1,091,884","2,561,775"
23801,,,211103  Allowances,,"21,579","9,957",,,,"21,579","9,957",,0,0
23802,,,213001  Medical Expenses(To Employees),,"5,036","2,000",,,,"5,036","2,000",,0,0
23803,,,"213002  Incapacity, death benefits and funeral e",,"4,036",500,,,,"4,036",500,,0,0
23804,,,221001  Advertising and Public Relations,,"1,524","2,000",,,,"1,524","2,000",,0,0
23805,,,221002  Workshops and Seminars,,"2,483",0,,,,"2,483",0,,0,0
23806,,,221003  Staff Training,,"2,483","6,000",,,,"2,483","6,000",,0,0
23807,,,221009  Welfare and Entertainment,,"10,000","10,000",,,,"15,000","15,000",,0,0
23808,,,221010  Special Meals and Drinks,,"9,000","13,000",,,,"9,000","13,000",,0,0
23809,,,"221011  Printing, Stationery, Photocopying and ",,"15,007","12,000",,,,"15,007","12,000",,0,0
23810,,,221012  Small Office Equipment,,"10,000","5,000",,,,"10,000","5,000",,0,0
23811,,,223005  Electricity,,"20,000","46,000",,,,"20,000","46,000",,0,0
23812,,,223006  Water,,"40,999","100,000",,,,"40,999","100,000",,0,0
23813,,,"223007  Other Utilities- (fuel, gas, f",,"5,000","2,500",,,,"5,000","2,500",,0,0
23814,,,224002  General Supply of Goods and Services,,"40,079","5,043",,,,"40,079","5,043",,0,0
23815,,,227001  Travel Inland,,"10,000","6,000",,,,"10,000","6,000",,0,0
23816,,,227002  Travel Abroad,,773,0,,,,773,0,,0,0
23817,,,"227004  Fuel, Lubricants and Oils",,"3,000","10,000",,,,"3,000","10,000",,0,0
23818,,,228001  Maintenance - Civil,,"3,000","2,000",,,,"3,000","7,000",,0,0
23819,,,228002  Maintenance - Vehicles,,"1,000","4,000",,,,"6,000","4,000",,0,0
23820,,,"228003  Maintenance Machinery, Equipment an",,"4,000","12,000",,,,"4,000","12,000",,0,0
23821,,,,,,,Output:085602 Outpatient services,,,,,,,
23822,,,211101  General Staff Salaries,,0,0,,,,"291,022",0,,"291,022",0
23823,,,211103  Allowances,,"14,579","14,000",,,,"14,579","14,000",,0,0
23824,,,213001  Medical Expenses(To Employees),,"2,317","1,000",,,,"2,317","1,000",,0,0
23825,,,"213002  Incapacity, death benefits and funeral e",,"1,317",500,,,,"1,317",500,,0,0
23826,,,221001  Advertising and Public Relations,,120,"1,000",,,,120,"1,000",,0,0
23827,,,221002  Workshops and Seminars,,"2,212",0,,,,"2,212",0,,0,0
23828,,,221003  Staff Training,,"1,036","3,000",,,,"1,036","3,000",,0,0
23829,,,221009  Welfare and Entertainment,,"2,011","5,000",,,,"2,011","5,000",,0,0
23830,,,221010  Special Meals and Drinks,,500,"2,000",,,,500,"2,000",,0,0
23831,,,"221011  Printing, Stationery, Photocopying and ",,"3,410","6,000",,,,"3,410","6,000",,0,0
23832,,,221012  Small Office Equipment,,"1,000","2,000",,,,"1,000","2,000",,0,0
23833,,,224002  General Supply of Goods and Services,,"13,000","20,000",,,,"13,000","20,000",,0,0
23834,,,227001  Travel Inland,,"3,998","6,000",,,,"3,998","6,000",,0,0
23835,,,228001  Maintenance - Civil,,500,100,,,,500,100,,0,0
23836,,,228002  Maintenance - Vehicles,,"1,000","2,500",,,,"1,000","2,500",,0,0
23837,,,"228003  Maintenance Machinery, Equipment an",,"2,000","2,000",,,,"2,000","2,000",,0,0
23838,,,,,,,Output:085603 Medicines and health supplies procured and  dispensed,,,,,,,
23839,,,211101  General Staff Salaries,,0,0,,,,"52,695",0,,"52,695",0
23840,,,211103  Allowances,,"5,500","3,050",,,,"5,500","3,050",,0,0
23841,,,227001  Travel Inland,,500,"2,000",,,,500,"2,000",,0,0
23842,,,,,,,Output:085604 Diagnostic services,,,,,,,
23843,,,211101  General Staff Salaries,,0,0,,,,"147,011",0,,"147,011",0
23844,,,,,,,,,Health Sector ,,,,,
23845,,,,,,,,,,,,Vote:172,,
23846,,,,Lira Referral Hospital,,,,,,,,,,
23847,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23848,,,,,,,,Programme  01 Lira Referral Hospital Services,,,,,,
23849,,,211103  Allowances,,"7,100","4,000",,,,"7,100","4,000",,0,0
23850,,,213001  Medical Expenses(To Employees),,"2,000",600,,,,"2,000",600,,0,0
23851,,,"213002  Incapacity, death benefits and funeral e",,500,500,,,,500,500,,0,0
23852,,,221002  Workshops and Seminars,,"1,500",0,,,,"1,500",0,,0,0
23853,,,221003  Staff Training,,"1,000","3,000",,,,"1,000","3,000",,0,0
23854,,,221009  Welfare and Entertainment,,"1,510","2,000",,,,"1,510","2,000",,0,0
23855,,,"221011  Printing, Stationery, Photocopying and ",,"3,240","1,000",,,,"3,240","1,000",,0,0
23856,,,221012  Small Office Equipment,,150,500,,,,150,500,,0,0
23857,,,227001  Travel Inland,,500,"1,000",,,,500,"1,000",,0,0
23858,,,228001  Maintenance - Civil,,500,300,,,,500,300,,0,0
23859,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23860,,,211101  General Staff Salaries,,0,0,,,,"394,030",0,,"394,030",0
23861,,,211103  Allowances,,"8,882","10,000",,,,"13,882","10,000",,0,0
23862,,,213001  Medical Expenses(To Employees),,543,600,,,,543,600,,0,0
23863,,,"213002  Incapacity, death benefits and funeral e",,543,550,,,,543,550,,0,0
23864,,,221001  Advertising and Public Relations,,"2,000","1,000",,,,"2,000","1,000",,0,0
23865,,,221002  Workshops and Seminars,,862,"5,300",,,,862,"10,300",,0,0
23866,,,221003  Staff Training,,"2,407","5,000",,,,"2,407","5,000",,0,0
23867,,,"221007  Books, Periodicals and Newspapers",,"3,504","4,500",,,,"3,504","4,500",,0,0
23868,,,221008  Computer Supplies and IT Services,,"5,000","22,500",,,,"5,000","22,500",,0,0
23869,,,221009  Welfare and Entertainment,,"33,734","15,000",,,,"33,734","15,000",,0,0
23870,,,"221011  Printing, Stationery, Photocopying and ",,"25,407","6,175",,,,"25,407","6,175",,0,0
23871,,,221012  Small Office Equipment,,"1,000","5,600",,,,"1,000","5,600",,0,0
23872,,,221014  Bank Charges and other Bank related c,,"2,400",0,,,,"2,400",0,,0,0
23873,,,222001  Telecommunications,,"2,000","15,000",,,,"2,000","15,000",,0,0
23874,,,222002  Postage and Courier,,200,"1,000",,,,200,"1,000",,0,0
23875,,,222003  Information and Communications Tech,,"8,000","7,500",,,,"8,000","7,500",,0,0
23876,,,223001  Property Expenses,,500,"3,800",,,,500,"3,800",,0,0
23877,,,223003  Rent - Produced Assets to private entiti,,"6,000","8,400",,,,"6,000","8,400",,0,0
23878,,,223005  Electricity,,"28,916","29,000",,,,"28,916","29,000",,0,0
23879,,,223006  Water,,"32,000","52,300",,,,"32,000","52,300",,0,0
23880,,,"223007  Other Utilities- (fuel, gas, f",,"12,000","6,000",,,,"12,000","6,000",,0,0
23881,,,224002  General Supply of Goods and Services,,"25,223","10,323",,,,"25,223","10,323",,0,0
23882,,,225001  Consultancy Services- Short-term,,"2,000","2,000",,,,"2,000","2,000",,0,0
23883,,,227001  Travel Inland,,"51,474","10,000",,,,"51,474","10,000",,0,0
23884,,,"227004  Fuel, Lubricants and Oils",,775,"13,656",,,,775,"13,656",,0,0
23885,,,228001  Maintenance - Civil,,"1,000","4,825",,,,"1,000","4,825",,0,0
23886,,,228002  Maintenance - Vehicles,,"13,200","7,500",,,,"13,200","7,500",,0,0
23887,,,228004  Maintenance  Other,,"9,430","13,500",,,,"9,430","13,500",,0,0
23888,,,,,,,Output:085606 Prevention and rehabilitation  services,,,,,,,
23889,,,211101  General Staff Salaries,,0,0,,,,"179,014",0,,"179,014",0
23890,,,211103  Allowances,,"6,761","15,150",,,,"6,761","15,150",,0,0
23891,,,213001  Medical Expenses(To Employees),,"1,246","1,000",,,,"1,246","1,000",,0,0
23892,,,"213002  Incapacity, death benefits and funeral e",,"1,246",500,,,,"1,246",500,,0,0
23893,,,221001  Advertising and Public Relations,,720,"2,000",,,,720,"2,000",,0,0
23894,,,221002  Workshops and Seminars,,"2,164",0,,,,"2,164",0,,0,0
23895,,,,,,,,,,,,Vote:172,,
23896,,,,Lira Referral Hospital,,,,,,,,,,
23897,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23898,,,,,,,,Programme  01 Lira Referral Hospital Services,,,,,,
23899,,,221009  Welfare and Entertainment,,"1,238","15,350",,,,"1,238","15,350",,0,0
23900,,,"221011  Printing, Stationery, Photocopying and ",,"10,400","9,425",,,,"10,400","9,425",,0,0
23901,,,223005  Electricity,,"26,600","15,000",,,,"26,600","15,000",,0,0
23902,,,223006  Water,,"25,100",0,,,,"25,100",0,,0,0
23903,,,224002  General Supply of Goods and Services,,"5,000","5,000",,,,"5,000","5,000",,0,0
23904,,,225001  Consultancy Services- Short-term,,"5,600",0,,,,"5,600",0,,0,0
23905,,,227001  Travel Inland,,"28,845","7,000",,,,"28,845","7,000",,0,0
23906,,,"227004  Fuel, Lubricants and Oils",,"6,280","87,000",,,,"6,280","87,000",,0,0
23907,,,228002  Maintenance - Vehicles,,"10,000","10,600",,,,"10,000","10,600",,0,0
23908,,,"228003  Maintenance Machinery, Equipment an",,"6,000",0,,,,"6,000",0,,0,0
23909,,,,,,,Output:085699 Arrears,,,,,,,
23910,,,321612  Water Arrears,,"148,566",0,,,,"148,566",0,,0,0
23911,,,,,,,,Programme  02 Lira Referral Hospital Internal Audit,,,,,,
23912,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23913,,,211101  General Staff Salaries,,0,0,,,,"7,000","7,000",,"7,000","7,000"
23914,,,211103  Allowances,,"6,000","8,000",,,,"6,000","8,000",,0,0
23915,,,,,,,,Programme  03 Lira Regional Maintenance,,,,,,
23916,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23917,,,211103  Allowances,,"4,250","4,000",,,,"4,250","4,000",,0,0
23918,,,221002  Workshops and Seminars,,"3,000","4,000",,,,"3,000","4,000",,0,0
23919,,,221003  Staff Training,,"7,250","6,500",,,,"7,250","6,500",,0,0
23920,,,"221011  Printing, Stationery, Photocopying and ",,"1,000","2,000",,,,"1,000","2,000",,0,0
23921,,,228002  Maintenance - Vehicles,,"6,500","4,500",,,,"6,500","4,500",,0,0
23922,,,"228003  Maintenance Machinery, Equipment an",,"32,000","29,000",,,,"32,000","29,000",,0,0
23923,Development Budget Estimates,,,,,,,,,,,,,
23924,,,,,,,,Project  1004 Lira Rehabilitation Referral Hospital,,,,,,
23925,,,,,,,Output:085672 Government Buildings and Administrative Infrastructure,,,,,,,
23926,,,,,,,,,,,"72,000",,,
23927,,,,,,,,,,,,Vote:172,,
23928,,,,Lira Referral Hospital,,,,,,,,,,
23929,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23930,,,,,,,,Project  1004 Lira Rehabilitation Referral Hospital,,,,,,
23931,,,,,,,"Output:085676 Purchase of Office and ICT Equipment, including  Software",,,,,,,
23932,,,231005  Machinery and Equipment,,0,0,,,,"100,000",0,,"100,000",0
23933,,,,,,,Output:085677 Purchase of Specialised Machinery & Equipment,,,,,,,
23934,,,231005  Machinery and Equipment,,0,0,,,,"1,200,000","428,000",,"1,200,000","428,000"
23935,,,,,,,,,,,Total,,,
23936,,,,,,,,,,"4,387,223",,,,
23937,,,,,,,,,,"4,223,657",,,,
23938,,,,,,,,,,"4,387,223",,,,
23939,,,,,,,,,,"4,223,657",,,,
23940,,,,,,,***where AIA is Appropriation in Aid,,,,,,,
23941,,,,,,,,,Health Sector ,,,,,
23942,,,,,,,,,,,,Vote:173,,
23943,,,,Mbarara Referral Hospital,,,,,,,,,,
23944,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23945,Recurrent Budget Estimates,,,,,,,,,,,,,
23946,,,,,,,,Programme  01 Mbarara Referral Hospital Services,,,,,,
23947,,,,,,,Output:085601 Inpatient services,,,,,,,
23948,,,211101  General Staff Salaries,,0,0,,,,"1,414,225",0,,"1,414,225",0
23949,,,211103  Allowances,,"14,114",0,,,,"39,114","280,000",,0,0
23950,,,213001  Medical Expenses(To Employees),,"3,071","1,364",,,,"3,071","1,364",,0,0
23951,,,221002  Workshops and Seminars,,"2,349","1,348",,,,"2,349","1,348",,0,0
23952,,,221003  Staff Training,,"2,000","1,000",,,,"2,000","1,000",,0,0
23953,,,"221007  Books, Periodicals and Newspapers",,500,346,,,,500,346,,0,0
23954,,,221009  Welfare and Entertainment,,"2,303","7,300",,,,"2,303","7,300",,0,0
23955,,,221010  Special Meals and Drinks,,500,500,,,,500,500,,0,0
23956,,,"221011  Printing, Stationery, Photocopying and ",,"9,516","1,000",,,,"9,516","21,000",,0,0
23957,,,221012  Small Office Equipment,,300,300,,,,300,300,,0,0
23958,,,224002  General Supply of Goods and Services,,"55,729",0,,,,"55,729","30,000",,0,0
23959,,,227001  Travel Inland,,"3,071","1,000",,,,"3,071","1,000",,0,0
23960,,,228001  Maintenance - Civil,,0,"1,000",,,,"5,000","11,000",,0,0
23961,,,"228003  Maintenance Machinery, Equipment an",,"5,000","5,000",,,,"10,000","25,000",,0,0
23962,,,,,,,Output:085602 Outpatient services,,,,,,,
23963,,,211101  General Staff Salaries,,0,0,,,,"313,405",0,,"313,405",0
23964,,,211103  Allowances,,"7,635",0,,,,"7,635",0,,0,0
23965,,,213001  Medical Expenses(To Employees),,"2,349",0,,,,"2,349",0,,0,0
23966,,,221002  Workshops and Seminars,,"2,349","1,348",,,,"2,349","1,348",,0,0
23967,,,221003  Staff Training,,"2,000","1,000",,,,"2,000","1,000",,0,0
23968,,,"221007  Books, Periodicals and Newspapers",,500,0,,,,500,0,,0,0
23969,,,221009  Welfare and Entertainment,,"1,762","3,760",,,,"1,762","3,760",,0,0
23970,,,221010  Special Meals and Drinks,,100,100,,,,100,100,,0,0
23971,,,"221011  Printing, Stationery, Photocopying and ",,"7,831","3,460",,,,"7,831","3,460",,0,0
23972,,,221012  Small Office Equipment,,200,200,,,,200,200,,0,0
23973,,,224002  General Supply of Goods and Services,,"55,927","20,000",,,,"55,927","20,000",,0,0
23974,,,227001  Travel Inland,,"3,120","5,000",,,,"3,120","5,000",,0,0
23975,,,"228003  Maintenance Machinery, Equipment an",,"5,000","5,000",,,,"5,000","5,000",,0,0
23976,,,,,,,Output:085604 Diagnostic services,,,,,,,
23977,,,211101  General Staff Salaries,,0,0,,,,"162,970",0,,"162,970",0
23978,,,211103  Allowances,,"6,909","2,000",,,,"6,909","2,000",,0,0
23979,,,213001  Medical Expenses(To Employees),,"1,919",0,,,,"1,919",0,,0,0
23980,,,"213002  Incapacity, death benefits and funeral e",,500,300,,,,500,300,,0,0
23981,,,,,,,,,Health Sector ,,,,,
23982,,,,,,,,,,,,Vote:173,,
23983,,,,Mbarara Referral Hospital,,,,,,,,,,
23984,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
23985,,,,,,,,Programme  01 Mbarara Referral Hospital Services,,,,,,
23986,,,221003  Staff Training,,"2,500","1,500",,,,"2,500","1,500",,0,0
23987,,,"221007  Books, Periodicals and Newspapers",,"1,152",0,,,,"1,152",0,,0,0
23988,,,221009  Welfare and Entertainment,,"1,535","2,532",,,,"1,535","2,532",,0,0
23989,,,221010  Special Meals and Drinks,,500,500,,,,500,500,,0,0
23990,,,"221011  Printing, Stationery, Photocopying and ",,"3,839","3,840",,,,"3,839","3,840",,0,0
23991,,,221012  Small Office Equipment,,100,100,,,,100,100,,0,0
23992,,,224002  General Supply of Goods and Services,,"33,330","10,000",,,,"33,330","10,000",,0,0
23993,,,227001  Travel Inland,,"1,535","3,000",,,,"1,535","3,000",,0,0
23994,,,"228003  Maintenance Machinery, Equipment an",,"5,000","5,000",,,,"5,000","5,000",,0,0
23995,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
23996,,,211101  General Staff Salaries,,0,0,,,,"416,072","3,271,398",,"416,072","3,271,398"
23997,,,211103  Allowances,,"50,268","4,128",,,,"50,268","4,128",,0,0
23998,,,213001  Medical Expenses(To Employees),,"2,641",0,,,,"2,641",0,,0,0
23999,,,"213002  Incapacity, death benefits and funeral e",,"1,693",488,,,,"1,693",488,,0,0
24000,,,221001  Advertising and Public Relations,,940,"2,940",,,,940,"2,940",,0,0
24001,,,221002  Workshops and Seminars,,"4,514","2,366",,,,"4,514","2,366",,0,0
24002,,,221003  Staff Training,,"2,257","2,256",,,,"2,257","2,256",,0,0
24003,,,221006  Commissions and Related Charges,,"18,000","4,000",,,,"18,000","4,000",,0,0
24004,,,"221007  Books, Periodicals and Newspapers",,"1,427","4,752",,,,"1,427","4,752",,0,0
24005,,,221008  Computer Supplies and IT Services,,"3,052","3,052",,,,"3,052","3,052",,0,0
24006,,,221009  Welfare and Entertainment,,"2,077","7,076",,,,"2,077","7,076",,0,0
24007,,,221010  Special Meals and Drinks,,"12,562","12,560",,,,"12,562","12,560",,0,0
24008,,,"221011  Printing, Stationery, Photocopying and ",,"48,439","12,000",,,,"48,439","12,000",,0,0
24009,,,221012  Small Office Equipment,,752,752,,,,752,752,,0,0
24010,,,221014  Bank Charges and other Bank related c,,"1,128","2,000",,,,"1,128","2,000",,0,0
24011,,,222001  Telecommunications,,"10,547","4,600",,,,"10,547","4,600",,0,0
24012,,,222002  Postage and Courier,,226,228,,,,226,228,,0,0
24013,,,222003  Information and Communications Tech,,"30,094","5,096",,,,"30,094","5,096",,0,0
24014,,,223001  Property Expenses,,"79,922","27,052",,,,"79,922","27,052",,0,0
24015,,,223004  Guard and Security services,,"5,376","5,376",,,,"5,376","5,376",,0,0
24016,,,223005  Electricity,,"28,257","20,000",,,,"28,257","20,000",,0,0
24017,,,223006  Water,,"60,762","10,000",,,,"60,762","10,000",,0,0
24018,,,"223007  Other Utilities- (fuel, gas, f",,"1,693","1,692",,,,"1,693","1,692",,0,0
24019,,,224002  General Supply of Goods and Services,,"100,409","30,000",,,,"100,409","30,000",,0,0
24020,,,227001  Travel Inland,,"4,023","31,023",,,,"4,023","31,023",,0,0
24021,,,227002  Travel Abroad,,"1,881","1,881",,,,"1,881","1,881",,0,0
24022,,,"227003  Carriage, Haulage, Freight and Transpo",,"2,752","2,752",,,,"2,752","2,752",,0,0
24023,,,"227004  Fuel, Lubricants and Oils",,"122,534","50,165",,,,"122,534","50,165",,0,0
24024,,,228001  Maintenance - Civil,,"11,505","3,504",,,,"11,505","3,504",,0,0
24025,,,"228003  Maintenance Machinery, Equipment an",,"37,474","10,476",,,,"37,474","10,476",,0,0
24026,,,,,,,Output:085606 Prevention and rehabilitation  services,,,,,,,
24027,,,211101  General Staff Salaries,,0,0,,,,"142,753",0,,"142,753",0
24028,,,211103  Allowances,,"5,605",0,,,,"5,605",0,,0,0
24029,,,213001  Medical Expenses(To Employees),,384,0,,,,384,0,,0,0
24030,,,,,,,,,,,,Vote:173,,
24031,,,,Mbarara Referral Hospital,,,,,,,,,,
24032,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
24033,,,,,,,,Programme  01 Mbarara Referral Hospital Services,,,,,,
24034,,,221003  Staff Training,,"1,000",500,,,,"1,000",500,,0,0
24035,,,"221007  Books, Periodicals and Newspapers",,998,0,,,,998,0,,0,0
24036,,,221009  Welfare and Entertainment,,"1,152","3,152",,,,"1,152","3,152",,0,0
24037,,,221010  Special Meals and Drinks,,100,100,,,,100,100,,0,0
24038,,,"221011  Printing, Stationery, Photocopying and ",,"2,303","2,304",,,,"2,303","2,304",,0,0
24039,,,221012  Small Office Equipment,,100,100,,,,100,100,,0,0
24040,,,224002  General Supply of Goods and Services,,"30,039","15,000",,,,"30,039","15,000",,0,0
24041,,,227001  Travel Inland,,"21,534","3,000",,,,"21,534","3,000",,0,0
24042,,,"228003  Maintenance Machinery, Equipment an",,"5,000","5,000",,,,"5,000","5,000",,0,0
24043,,,,,,,Output:085699 Arrears,,,,,,,
24044,,,321612  Water Arrears,,"50,000",0,,,,"50,000",0,,0,0
24045,,,,,,,,Programme  02 Mbarara Referral Hospital Internal Audit,,,,,,
24046,,,,,,,Output:085605 Hospital Management  and support services,,,,,,,
24047,,,211101  General Staff Salaries,,0,0,,,,"7,680","8,000",,"7,680","8,000"
24048,,,211103  Allowances,,"7,000","1,500",,,,"7,000","1,500",,0,0
24049,,,"221007  Books, Periodicals and Newspapers",,390,432,,,,390,432,,0,0
24050,,,221008  Computer Supplies and IT Services,,300,300,,,,300,300,,0,0
24051,,,221009  Welfare and Entertainment,,500,500,,,,500,500,,0,0
24052,,,"221011  Printing, Stationery, Photocopying and ",,"1,890","1,888",,,,"1,890","1,888",,0,0
24053,,,221012  Small Office Equipment,,100,500,,,,100,500,,0,0
24054,,,222001  Telecommunications,,"1,200",600,,,,"1,200",600,,0,0
24055,,,224002  General Supply of Goods and Services,,500,500,,,,500,500,,0,0
24056,,,227001  Travel Inland,,"1,320","5,280",,,,"1,320","5,280",,0,0
24057,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
24058,Development Budget Estimates,,,,,,,,,,,,,
24059,,,,,,,,Project  1004 Mbarara Rehabilitation Referral Hospital,,,,,,
24060,,,,,,,"Output:085676 Purchase of Office and ICT Equipment, including  Software",,,,,,,
24061,,,231005  Machinery and Equipment,,0,0,,,,"150,000",0,,"150,000",0
24062,,,312206  Gross Tax,,0,0,,,,"15,000",0,,"15,000",0
24063,,,,,,,Output:085677 Purchase of Specialised Machinery & Equipment,,,,,,,
24064,,,231005  Machinery and Equipment,,0,0,,,,"40,000","550,000",,"40,000","550,000"
24065,,,,,,,,,,,,Vote:173,,
24066,,,,Mbarara Referral Hospital,,,,,,,,,,
24067,,Vote Function 0856 Regional Referral Hospital Services,,,,,,,,,,,,
